"","pval1","pval2","pval3","pval4"
"198",3.16962060329303e-93,2.69099199896754e-109,3.90288511356269e-101,2.58027568994695e-92
"199",2.11377814832915e-93,5.01605166293357e-109,5.12021803518104e-101,2.62224078986951e-92
"200",1.88160630506649e-93,7.08846459254723e-109,5.16734042617053e-101,2.27972363542290e-92
"201",2.17384048253723e-93,8.08466926097635e-109,5.42748419075731e-101,3.43856300150387e-92
"202",1.97053012709793e-93,9.58451288303731e-109,2.97093235577451e-101,4.48969543436979e-92
"203",1.92066668096519e-93,7.44345722362747e-109,3.68674955064617e-103,3.38223374878759e-92
"204",4.77819759968941e-93,9.96029968385431e-109,6.09920765011796e-103,1.73865000937833e-92
"205",1.23286532542075e-92,8.14261390172866e-109,5.80822444072559e-103,4.43190140036504e-93
"206",2.35264661647099e-92,9.77638469089873e-108,1.34150712489639e-102,5.33566600235377e-93
"207",1.13707569018347e-92,9.70644067318901e-107,6.26869377093213e-103,2.55744805407163e-93
"208",2.6919697247537e-92,1.54182086411496e-106,1.35649841477447e-102,2.84340603697201e-93
"209",1.06828837639521e-93,3.60984703675383e-107,4.49013809295651e-103,4.50023734744677e-96
"210",2.29527600042278e-94,9.05658374926496e-108,5.38786070959352e-103,2.79349706342344e-96
"211",3.42611423768403e-94,1.15946834707607e-107,6.09134780093685e-103,2.40311880803369e-96
"212",3.0331845257708e-94,2.41857433810189e-107,6.78955796258189e-103,2.35031341557284e-96
"213",1.4245917492704e-94,4.87539824563732e-107,2.29064220110405e-102,6.392338927549e-96
"214",8.98161246038209e-95,3.7996769415573e-107,3.49877666659231e-102,1.20818832493479e-96
"215",8.04113530111725e-95,3.25323674534788e-107,3.72043370562816e-102,7.92172335485888e-97
"216",2.05281071863454e-94,6.41777610050196e-107,1.20397280940917e-101,1.14104056892493e-96
"217",1.07742384488687e-93,8.63111180692604e-107,1.29255836565727e-101,1.44751339237041e-96
"218",7.22886347530161e-94,8.75718350903999e-107,6.67422666618458e-101,3.60333398348017e-96
"219",7.75574925053551e-94,7.91534699391503e-107,6.7881498914898e-101,4.008597332612e-96
"220",1.76281329927298e-94,9.19642077209755e-107,9.16338428847473e-101,2.75711187934985e-97
"221",1.71928282379563e-94,4.28331614264099e-107,1.48393308516529e-100,2.82135874356762e-97
"222",1.24291259658264e-93,3.39952419572624e-107,1.09261617088929e-99,8.57175982781691e-97
"223",1.3669248011146e-93,8.30317000271529e-106,2.06355715904448e-99,2.56638361663707e-96
"224",1.92262705758976e-94,1.54874969435861e-105,4.89784435090893e-100,5.26370564491947e-97
"225",2.37296050950965e-94,2.09674250383626e-105,5.02115833634198e-100,5.41032130122603e-97
"226",2.52830719019207e-94,1.12199826725015e-105,2.70401230151795e-100,2.63707159760104e-97
"227",2.62679160375889e-94,7.67887847955984e-106,2.0916674380556e-100,1.766938027436e-97
"228",2.72272679011077e-94,9.00667565861574e-106,1.6943859270304e-100,8.98710260983971e-98
"229",4.62733985844521e-94,2.33976327805346e-106,9.57232351870833e-101,3.54737881874826e-98
"230",3.95777776298473e-93,3.88105083883466e-106,1.50593582860216e-100,3.6378823528556e-98
